,x_coordinate,y_coordinate,x_scaled,y_scaled
0,39,3,2.376,1.152
1,42,7,2.559,2.689
2,58,3,3.534,1.152
3,43,3,2.62,1.152
4,13,6,0.792,2.304
5,32,5,1.95,1.92
6,60,3,3.656,1.152
7,13,4,0.792,1.536
8,26,0,1.584,0
9,27,9,1.645,3.457
10,29,6,1.767,2.304
11,51,3,3.107,1.152
12,14,0,0.853,0
13,50,7,3.046,2.689
14,62,4,3.778,1.536
15,59,1,3.595,0.384
16,50,3,3.046,1.152
17,62,0,3.778,0
18,65,2,3.96,0.768
19,17,5,1.036,1.92
20,25,9,1.523,3.457
21,45,5,2.742,1.92
22,55,8,3.351,3.073
23,48,6,2.925,2.304
24,42,3,2.559,1.152
25,58,1,3.534,0.384
26,68,4,4.143,1.536
27,58,2,3.534,0.768
28,37,8,2.254,3.073
29,55,7,3.351,2.689
